"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject"
"[{""page_index"":0,""viewing_time"":10697.575000114739}]","10701.205000048503","instructions","0","10730","0.0-0.0","SS1604513741829"
"[{""page_index"":0,""viewing_time"":4902.545000077225},{""page_index"":1,""viewing_time"":4279.689999995753},{""page_index"":2,""viewing_time"":1007.3850000044331},{""page_index"":3,""viewing_time"":3361.7049999302253},{""page_index"":4,""viewing_time"":950.4799999995157},{""page_index"":5,""viewing_time"":1504.0750000625849},{""page_index"":6,""viewing_time"":1137.1449999278411},{""page_index"":7,""viewing_time"":1150.9200000436977},{""page_index"":8,""viewing_time"":1040.4450000496581}]","19336.09500003513","instructions","1","30091","0.0-1.0","SS1604513741829"
"[{""page_index"":0,""viewing_time"":1681.1599999200553},{""page_index"":1,""viewing_time"":6584.290000027977},{""page_index"":2,""viewing_time"":3879.4050000142306}]","12145.869999891147","instructions","2","42242","0.0-2.0","SS1604513741829"
