"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":42454.245000029914}]","42455.060000065714","instructions","0","42478","0.0-0.0","SS1604513391236","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9276.865000021644},{""page_index"":1,""viewing_time"":6963.739999919198},{""page_index"":2,""viewing_time"":6520.134999998845},{""page_index"":3,""viewing_time"":11307.96000000555},{""page_index"":4,""viewing_time"":9467.464999994263},{""page_index"":5,""viewing_time"":7899.975000065751},{""page_index"":6,""viewing_time"":4953.869999968447},{""page_index"":7,""viewing_time"":6001.91500002984},{""page_index"":8,""viewing_time"":2541.770000010729}]","64933.97000001278","instructions","1","107414","0.0-1.0","SS1604513391236","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5485.1699999999255},{""page_index"":1,""viewing_time"":4781.554999994114},{""page_index"":2,""viewing_time"":1841.9400000711903}]","12108.910000068136","instructions","2","119524","0.0-2.0","SS1604513391236","","","","","","","","","","","","","","","","",""
"","1057.494999957271","practice-block","3","120785","0.0-3.0","SS1604513391236","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1257.494999957271","","","","","",""
"","null","html-keyboard-response","4","122037","0.0-4.0","SS1604513391236","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","401.7849999945611","practice-block","5","122655","0.0-5.0","SS1604513391236","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","601.7849999945611","","","","","",""
"","null","html-keyboard-response","6","123695","0.0-6.0","SS1604513391236","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","293.7199999578297","practice-block","7","124192","0.0-7.0","SS1604513391236","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","493.7199999578297","","","","","",""
"","null","html-keyboard-response","8","125243","0.0-8.0","SS1604513391236","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","4434.1199999907985","practice-block","9","129882","0.0-9.0-0.0","SS1604513391236","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4634.1199999907985","yes","224.6199999935925","","","",""
