"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","key_press","trial_stimulus","trial_stimulus_type","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","blcok_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","responses","question_order"
"[{""page_index"":0,""viewing_time"":1509.4150000077207},{""page_index"":1,""viewing_time"":88176.14499999036},{""page_index"":2,""viewing_time"":911.2050000112504},{""page_index"":3,""viewing_time"":1056.1149999994086},{""page_index"":4,""viewing_time"":591.5849999873899}]","92245.73000000964","instructions","0","92248","0.0-0.0","SS1602366760417","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","1","93155","0.0-1.0-0.0","SS1602366760417","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","42.19500000181142","stimulus-presentation","2","93805","0.0-1.0-1.0","SS1602366760417","","40","<img src='images/complex/64.png' width ='500' height = '600' style='border:5px solid black'>","deviant","mixed_complex_deviant","images/simple/108.png","images/simple/31.png","images/complex/118.png,images/complex/23.png,images/complex/117.png,images/complex/64.png,images/complex/82.png,images/complex/54.png,images/complex/36.png,images/complex/2.png,images/complex/87.png,images/complex/77.png,images/complex/84.png,images/complex/44.png,images/complex/53.png,images/complex/75.png,images/complex/80.png,images/complex/68.png,images/complex/81.png,images/complex/70.png,images/complex/108.png,images/complex/32.png,images/complex/30.png,images/complex/119.png,images/complex/48.png,images/complex/109.png,images/complex/111.png,images/complex/71.png,images/complex/4.png,images/complex/97.png,images/complex/17.png,images/complex/98.png,images/complex/55.png,images/complex/49.png,images/complex/63.png,images/complex/1.png,images/complex/106.png,images/complex/92.png,images/complex/50.png,images/complex/86.png","0","0","","600","642.1950000018114","","",""
"","null","html-keyboard-response","3","94880","0.0-1.0-0.1","SS1602366760417","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","60.46000000787899","stimulus-presentation","4","95553","0.0-1.0-1.1","SS1602366760417","","40","<img src='images/simple/108.png' width ='500' height = '600' style='border:5px solid black'>","target","mixed_complex_deviant","images/simple/108.png","images/simple/31.png","images/complex/118.png,images/complex/23.png,images/complex/117.png,images/complex/64.png,images/complex/82.png,images/complex/54.png,images/complex/36.png,images/complex/2.png,images/complex/87.png,images/complex/77.png,images/complex/84.png,images/complex/44.png,images/complex/53.png,images/complex/75.png,images/complex/80.png,images/complex/68.png,images/complex/81.png,images/complex/70.png,images/complex/108.png,images/complex/32.png,images/complex/30.png,images/complex/119.png,images/complex/48.png,images/complex/109.png,images/complex/111.png,images/complex/71.png,images/complex/4.png,images/complex/97.png,images/complex/17.png,images/complex/98.png,images/complex/55.png,images/complex/49.png,images/complex/63.png,images/complex/1.png,images/complex/106.png,images/complex/92.png,images/complex/50.png,images/complex/86.png","0","0","","600","660.460000007879","","",""
"","null","html-keyboard-response","5","96825","0.0-1.0-0.2","SS1602366760417","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","27.384999993955716","stimulus-presentation","6","97468","0.0-1.0-1.2","SS1602366760417","","40","<img src='images/simple/31.png' width ='500' height = '600' style='border:5px solid black'>","background","mixed_complex_deviant","images/simple/108.png","images/simple/31.png","images/complex/118.png,images/complex/23.png,images/complex/117.png,images/complex/64.png,images/complex/82.png,images/complex/54.png,images/complex/36.png,images/complex/2.png,images/complex/87.png,images/complex/77.png,images/complex/84.png,images/complex/44.png,images/complex/53.png,images/complex/75.png,images/complex/80.png,images/complex/68.png,images/complex/81.png,images/complex/70.png,images/complex/108.png,images/complex/32.png,images/complex/30.png,images/complex/119.png,images/complex/48.png,images/complex/109.png,images/complex/111.png,images/complex/71.png,images/complex/4.png,images/complex/97.png,images/complex/17.png,images/complex/98.png,images/complex/55.png,images/complex/49.png,images/complex/63.png,images/complex/1.png,images/complex/106.png,images/complex/92.png,images/complex/50.png,images/complex/86.png","0","0","","600","627.3849999939557","","",""
"","null","html-keyboard-response","7","98293","0.0-1.0-0.3","SS1602366760417","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","198.4750000119675","stimulus-presentation","8","99106","0.0-1.0-1.3","SS1602366760417","","40","<img src='images/simple/31.png' width ='500' height = '600' style='border:5px solid black'>","background","mixed_complex_deviant","images/simple/108.png","images/simple/31.png","images/complex/118.png,images/complex/23.png,images/complex/117.png,images/complex/64.png,images/complex/82.png,images/complex/54.png,images/complex/36.png,images/complex/2.png,images/complex/87.png,images/complex/77.png,images/complex/84.png,images/complex/44.png,images/complex/53.png,images/complex/75.png,images/complex/80.png,images/complex/68.png,images/complex/81.png,images/complex/70.png,images/complex/108.png,images/complex/32.png,images/complex/30.png,images/complex/119.png,images/complex/48.png,images/complex/109.png,images/complex/111.png,images/complex/71.png,images/complex/4.png,images/complex/97.png,images/complex/17.png,images/complex/98.png,images/complex/55.png,images/complex/49.png,images/complex/63.png,images/complex/1.png,images/complex/106.png,images/complex/92.png,images/complex/50.png,images/complex/86.png","0","0","","600","798.4750000119675","","",""
"","null","html-keyboard-response","9","100416","0.0-1.0-0.4","SS1602366760417","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
