"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type"
"[{""page_index"":0,""viewing_time"":41322.18499999726}]","41323.57999999658","instructions","0","41378","0.0-0.0","SS1604513317537","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15592.755000019679},{""page_index"":1,""viewing_time"":8560.00500000664},{""page_index"":2,""viewing_time"":5568.614999996498},{""page_index"":3,""viewing_time"":5392.129999992903},{""page_index"":4,""viewing_time"":4503.1700000108685},{""page_index"":5,""viewing_time"":1753.0399999814108},{""page_index"":6,""viewing_time"":5390.885000000708},{""page_index"":7,""viewing_time"":3152.2249999979977},{""page_index"":8,""viewing_time"":2945.0050000159536}]","52858.580000000075","instructions","1","94241","0.0-1.0","SS1604513317537","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11793.395000015153},{""page_index"":1,""viewing_time"":32696.079999994254},{""page_index"":2,""viewing_time"":2719.665000011446}]","47209.700000006706","instructions","2","141455","0.0-2.0","SS1604513317537","","","","","","","","","","","","","","",""
"","4076.4100000087637","practice-block","3","145741","0.0-3.0","SS1604513317537","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4276.410000008764","","","",""
"","null","html-keyboard-response","4","146613","0.0-4.0","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","530.399999988731","practice-block","5","147350","0.0-5.0","SS1604513317537","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","730.399999988731","","","",""
"","null","html-keyboard-response","6","148430","0.0-6.0","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","10325.270000001183","practice-block","7","158965","0.0-7.0","SS1604513317537","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","10525.270000001183","yes","7165.8600000082515","",""
"","null","html-keyboard-response","8","159962","0.0-8.0","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","251.54999998630956","practice-block","9","163140","0.0-9.0-0.0","SS1604513317537","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","451.54999998630956","","","",""
"","1337.0599999907427","practice-block","10","170006","0.0-9.1-0.1","SS1604513317537","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1537.0599999907427","","","",""
"","4247.9099999764","practice-block","11","174462","0.0-9.2-0.2","SS1604513317537","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4447.9099999764","yes","71.48499999311753","",""
"","null","html-keyboard-response","12","175315","0.0-10.0","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","75.01000000047497","practice-block","13","175606","0.0-11.0","SS1604513317537","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","275.010000000475","","","",""
"[{""page_index"":0,""viewing_time"":2291}]","2291","task-instructions","14","177904","0.0-12.0","SS1604513317537","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12018.500000005588},{""page_index"":1,""viewing_time"":14447.954999981448},{""page_index"":2,""viewing_time"":3753.629999991972}]","30220.839999994496","instructions","15","208129","0.0-13.0","SS1604513317537","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","16","209342","0.0-14.0-0.0","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","3187.884999992093","stimulus-presentation","17","212759","0.0-14.0-1.0","SS1604513317537","<img src='images/simple/8.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_complex_deviant","images/simple/7.png","images/simple/8.png","images/complex/7.png,images/complex/15.png,images/complex/13.png,images/complex/14.png,images/complex/3.png,images/complex/6.png,images/complex/8.png","0","null","","200","3387.884999992093","yes","412.55499998806044","","background"
"","null","html-keyboard-response","18","213917","0.0-14.0-0.1","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","2053.359999990789","stimulus-presentation","19","216182","0.0-14.0-1.1","SS1604513317537","<img src='images/simple/8.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_complex_deviant","images/simple/7.png","images/simple/8.png","images/complex/7.png,images/complex/15.png,images/complex/13.png,images/complex/14.png,images/complex/3.png,images/complex/6.png,images/complex/8.png","0","null","","200","2253.359999990789","yes","517.5549999985378","","background"
"","null","html-keyboard-response","20","217064","0.0-14.0-0.2","SS1604513317537","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
