"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":33457.704999998896}]","33458.27499999905","instructions","0","33488","0.0-0.0","SS1604588488439","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9439.739999999802},{""page_index"":1,""viewing_time"":4627.964999999676},{""page_index"":2,""viewing_time"":5290.060000001176},{""page_index"":3,""viewing_time"":4791.874999998981},{""page_index"":4,""viewing_time"":5427.999999999884},{""page_index"":5,""viewing_time"":5291.93000000123},{""page_index"":6,""viewing_time"":3240.009999999529},{""page_index"":7,""viewing_time"":15495.899999999892},{""page_index"":8,""viewing_time"":6333.979999999428}]","59939.71000000056","instructions","1","93429","0.0-1.0","SS1604588488439","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4570.830000000569},{""page_index"":1,""viewing_time"":4631.954999998925},{""page_index"":2,""viewing_time"":1965.9900000006019}]","11169.019999999364","instructions","2","104599","0.0-2.0","SS1604588488439","","","","","","","","","","","","","","","","",""
"","1450.2099999990605","practice-block","3","106253","0.0-3.0","SS1604588488439","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1650.2099999990605","","","","","",""
"","null","html-keyboard-response","4","107180","0.0-4.0","SS1604588488439","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1018.4600000011415","practice-block","5","108412","0.0-5.0","SS1604588488439","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1218.4600000011415","","","","","",""
"","null","html-keyboard-response","6","109664","0.0-6.0","SS1604588488439","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1013.3549999991374","practice-block","7","110892","0.0-7.0","SS1604588488439","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1213.3549999991374","","","","","",""
"","null","html-keyboard-response","8","111763","0.0-8.0","SS1604588488439","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","5225.560000000769","practice-block","9","117196","0.0-9.0-0.0","SS1604588488439","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","5425.560000000769","yes","1033.7199999994482","","","",""
"","null","html-keyboard-response","10","118477","0.0-10.0","SS1604588488439","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","981.4699999988079","practice-block","11","119676","0.0-11.0","SS1604588488439","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1181.469999998808","","","","","",""
"[{""page_index"":0,""viewing_time"":2265}]","2266","task-instructions","12","121945","0.0-12.0","SS1604588488439","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3940.599999999904},{""page_index"":1,""viewing_time"":4031.989999999496},{""page_index"":2,""viewing_time"":1653.9700000012235}]","9626.804999999862","instructions","13","131573","0.0-13.0","SS1604588488439","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","132814","0.0-14.0-0.0","SS1604588488439","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
