"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":6607.335000007879}]","6608.479999995325","instructions","0","6698","0.0-0.0","SS1604588666015","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16937.57499998901},{""page_index"":1,""viewing_time"":4956.01500000339},{""page_index"":2,""viewing_time"":4316.784999973606},{""page_index"":3,""viewing_time"":64417.565000010654},{""page_index"":4,""viewing_time"":3602.000000013504},{""page_index"":5,""viewing_time"":7402.784999983851},{""page_index"":6,""viewing_time"":2466.9400000129826},{""page_index"":7,""viewing_time"":3924.319999990985},{""page_index"":8,""viewing_time"":2128.1549999839626}]","110152.65000000363","instructions","1","116854","0.0-1.0","SS1604588666015","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6540.3499999665655},{""page_index"":1,""viewing_time"":11054.440000036266},{""page_index"":2,""viewing_time"":2273.7149999593385}]","19869.130000006407","instructions","2","136727","0.0-2.0","SS1604588666015","","","","","","","","","","","","","","","","",""
"","12382.975000014994","practice-block","3","149321","0.0-3.0","SS1604588666015","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","12582.975000014994","yes","4093.265000032261","","","",""
"","null","html-keyboard-response","4","150332","0.0-4.0","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","903.5000000149012","practice-block","5","151441","0.0-5.0","SS1604588666015","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1103.5000000149012","","","","","",""
"","null","html-keyboard-response","6","152273","0.0-6.0","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","398.96999998018146","practice-block","7","152878","0.0-7.0","SS1604588666015","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","598.9699999801815","","","","","",""
"","null","html-keyboard-response","8","154152","0.0-8.0","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","8653.515000012703","practice-block","9","163011","0.0-9.0-0.0","SS1604588666015","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","8853.515000012703","yes","4054.3499999912456","","","",""
"","null","html-keyboard-response","10","164101","0.0-10.0","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","376.2950000236742","practice-block","11","164684","0.0-11.0","SS1604588666015","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","576.2950000236742","","","","","",""
"[{""page_index"":0,""viewing_time"":4425}]","4426","task-instructions","12","169115","0.0-12.0","SS1604588666015","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4719.5949999731965},{""page_index"":1,""viewing_time"":8161.015000019688},{""page_index"":2,""viewing_time"":2718.2649999740534}]","15599.25500000827","instructions","13","184718","0.0-13.0","SS1604588666015","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","185851","0.0-14.0-0.0","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","609.3949999776669","stimulus-presentation","15","186674","0.0-14.0-1.0","SS1604588666015","<img src='images/simple/16.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_complex_deviant","images/simple/13.png","images/simple/16.png","images/complex/15.png,images/complex/1.png,images/complex/12.png,images/complex/3.png,images/complex/11.png,images/complex/10.png,images/complex/6.png","0","null","","200","809.3949999776669","","","","background","",""
"","null","html-keyboard-response","16","187558","0.0-14.0-0.1","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","336.8499999633059","stimulus-presentation","17","188103","0.0-14.0-1.1","SS1604588666015","<img src='images/complex/1.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_complex_deviant","images/simple/13.png","images/simple/16.png","images/complex/15.png,images/complex/1.png,images/complex/12.png,images/complex/3.png,images/complex/11.png,images/complex/10.png,images/complex/6.png","0","null","","200","536.8499999633059","","","","deviant","",""
"","null","html-keyboard-response","18","189239","0.0-14.0-0.2","SS1604588666015","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
