"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":1714.3750000013824}]","1714.8850000012317","instructions","0","1733","0.0-0.0","SS1604513288123","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15014.01000000078},{""page_index"":1,""viewing_time"":14469.864999999118},{""page_index"":2,""viewing_time"":3159.045000000333},{""page_index"":3,""viewing_time"":20771.310000000085},{""page_index"":4,""viewing_time"":7659.819999998945},{""page_index"":5,""viewing_time"":3990.235000001121},{""page_index"":6,""viewing_time"":2437.9250000001775},{""page_index"":7,""viewing_time"":3381.905000000188},{""page_index"":8,""viewing_time"":1620.054999999411}]","72504.59500000034","instructions","1","74243","0.0-1.0","SS1604513288123","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3425.554999999804},{""page_index"":1,""viewing_time"":6031.935000000885},{""page_index"":2,""viewing_time"":2448.8899999996647}]","11906.764999999723","instructions","2","86152","0.0-2.0","SS1604513288123","","","","","","","","","","","","","","","","",""
"","4621.194999999716","practice-block","3","90978","0.0-3.0","SS1604513288123","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4821.194999999716","","","","","",""
"","null","html-keyboard-response","4","92261","0.0-4.0","SS1604513288123","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1625.8749999997235","practice-block","5","94090","0.0-5.0","SS1604513288123","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1825.8749999997235","","","","","",""
"","null","html-keyboard-response","6","95249","0.0-6.0","SS1604513288123","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","4426.724999999351","practice-block","7","99882","0.0-7.0","SS1604513288123","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4626.724999999351","","","","","",""
"","null","html-keyboard-response","8","101138","0.0-8.0","SS1604513288123","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2621.3499999994383","practice-block","9","108268","0.0-9.0-0.0","SS1604513288123","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2821.3499999994383","","","","","",""
"","26017.16499999931","practice-block","10","134490","0.0-9.1-0.1","SS1604513288123","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","26217.16499999931","yes","679.2949999999109","","","",""
"","null","html-keyboard-response","11","135630","0.0-10.0","SS1604513288123","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2354.8399999999674","practice-block","12","138192","0.0-11.0","SS1604513288123","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2554.8399999999674","","","","","",""
"[{""page_index"":0,""viewing_time"":2658}]","2658","task-instructions","13","140852","0.0-12.0","SS1604513288123","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1917.6999999999534},{""page_index"":1,""viewing_time"":10439.430000000342},{""page_index"":2,""viewing_time"":2630.284999999276}]","14987.810000000522","instructions","14","155842","0.0-13.0","SS1604513288123","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","156927","0.0-14.0-0.0","SS1604513288123","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2540.510000000737","stimulus-presentation","16","159681","0.0-14.0-1.0","SS1604513288123","<img src='images/complex/4.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/3.png","images/complex/4.png","images/simple/4.png,images/simple/11.png,images/simple/10.png,images/simple/2.png,images/simple/17.png,images/simple/16.png,images/simple/1.png","0","null","","200","2740.510000000737","","","","background","",""
"","null","html-keyboard-response","17","160860","0.0-14.0-0.1","SS1604513288123","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
