"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":76712.40999997826}]","76717.49999999884","instructions","0","76897","0.0-0.0","SS1604611082894","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2208.379999996396},{""page_index"":1,""viewing_time"":2063.27000001329},{""page_index"":2,""viewing_time"":1295.7900000037625},{""page_index"":3,""viewing_time"":1489.1999999817926},{""page_index"":4,""viewing_time"":1094.7050000249874},{""page_index"":5,""viewing_time"":1689.1999999934342},{""page_index"":6,""viewing_time"":1998.9500000083353},{""page_index"":7,""viewing_time"":1247.5699999777135},{""page_index"":8,""viewing_time"":2497.4349999974947}]","15585.79500002088","instructions","1","92496","0.0-1.0","SS1604611082894","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5092.269999993732},{""page_index"":1,""viewing_time"":2783.0400000093505},{""page_index"":2,""viewing_time"":1975.8450000081211}]","9852.100000018254","instructions","2","102358","0.0-2.0","SS1604611082894","","","","","","","","","","","","","","","","",""
"","2726.7050000082236","practice-block","3","105305","0.0-3.0","SS1604611082894","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2926.7050000082236","","","","","",""
"","null","html-keyboard-response","4","106478","0.0-4.0","SS1604611082894","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1524.665000004461","practice-block","5","108216","0.0-5.0","SS1604611082894","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1724.665000004461","","","","","",""
"","null","html-keyboard-response","6","109049","0.0-6.0","SS1604611082894","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","300.4349999828264","practice-block","7","109563","0.0-7.0","SS1604611082894","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","500.4349999828264","","","","","",""
"","null","html-keyboard-response","8","110760","0.0-8.0","SS1604611082894","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","205.81499999389052","practice-block","9","117047","0.0-9.0-0.0","SS1604611082894","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","405.8149999938905","","","","","",""
