"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":3473.9999999292195}]","3474.999999976717","instructions","0","3491","0.0-0.0","SS1604513263693","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15927.999999956228},{""page_index"":1,""viewing_time"":5360.0000001024455},{""page_index"":2,""viewing_time"":1750},{""page_index"":3,""viewing_time"":2888.9999999664724},{""page_index"":4,""viewing_time"":1429.9999999348074},{""page_index"":5,""viewing_time"":1840.000000083819},{""page_index"":6,""viewing_time"":1761.9999999878928},{""page_index"":7,""viewing_time"":2797.999999951571},{""page_index"":8,""viewing_time"":1040.000000037253}]","34797.99999995157","instructions","1","38291","0.0-1.0","SS1604513263693","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2238.000000012107},{""page_index"":1,""viewing_time"":6719.99999997206},{""page_index"":2,""viewing_time"":1760.0000000093132}]","10717.99999999348","instructions","2","49010","0.0-2.0","SS1604513263693","","","","","","","","","","","","","","","","",""
"","2753.000000026077","practice-block","3","51970","0.0-3.0","SS1604513263693","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2953.000000026077","","","","","",""
"","null","html-keyboard-response","4","53172","0.0-4.0","SS1604513263693","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1155.9999999590218","practice-block","5","54531","0.0-5.0","SS1604513263693","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1355.9999999590218","","","","","",""
"","null","html-keyboard-response","6","55822","0.0-6.0","SS1604513263693","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","4984.000000054948","practice-block","7","61010","0.0-7.0","SS1604513263693","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","5184.000000054948","","","","","",""
"","null","html-keyboard-response","8","62005","0.0-8.0","SS1604513263693","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1442.9999999701977","practice-block","9","65491","0.0-9.0-0.0","SS1604513263693","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1642.9999999701977","","","","","",""
"","7074.999999953434","practice-block","10","72770","0.0-9.1-0.1","SS1604513263693","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","7274.999999953434","yes","2756.000000052154","","","",""
"","null","html-keyboard-response","11","73747","0.0-10.0","SS1604513263693","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
