"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":9811.925000001793}]","9813.15000000177","instructions","0","9832","0.0-0.0","SS1603399414985","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17638.930000000983},{""page_index"":1,""viewing_time"":1849.1050000011455},{""page_index"":2,""viewing_time"":1677.32000000251},{""page_index"":3,""viewing_time"":93806.96499999613},{""page_index"":4,""viewing_time"":2863.710000005085},{""page_index"":5,""viewing_time"":1908.9349999994738},{""page_index"":6,""viewing_time"":1192.6600000006147},{""page_index"":7,""viewing_time"":2336.1299999960465},{""page_index"":8,""viewing_time"":952.0400000037625}]","124226.36000000057","instructions","1","134060","0.0-1.0","SS1603399414985","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1080.3599999926519},{""page_index"":1,""viewing_time"":2545.1650000031805},{""page_index"":2,""viewing_time"":997.7700000017649}]","4623.540000000503","instructions","2","138689","0.0-2.0","SS1603399414985","","","","","","","","","","","","","","","","",""
"","3927.350000012666","practice-block","3","142823","0.0-3.0","SS1603399414985","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4127.350000012666","","","","","",""
"","null","html-keyboard-response","4","143924","0.0-4.0","SS1603399414985","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","433.01000000792556","practice-block","5","144572","0.0-5.0","SS1603399414985","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","633.0100000079256","","","","","",""
"","null","html-keyboard-response","6","145805","0.0-6.0","SS1603399414985","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","293.47999999299645","practice-block","7","146309","0.0-7.0","SS1603399414985","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","493.47999999299645","","","","","",""
"","null","html-keyboard-response","8","147156","0.0-8.0","SS1603399414985","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","156954.70000000205","practice-block","9","304325","0.0-9.0-0.0","SS1603399414985","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","157154.70000000205","yes","555.04999999539","","","",""
"","null","html-keyboard-response","10","305254","0.0-10.0","SS1603399414985","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","104.77000000537373","practice-block","11","305572","0.0-11.0","SS1603399414985","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","304.77000000537373","","","","","",""
"[{""page_index"":0,""viewing_time"":1071}]","1071","task-instructions","12","306652","0.0-12.0","SS1603399414985","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1535.8200000046054},{""page_index"":1,""viewing_time"":5021.689999994123},{""page_index"":0,""viewing_time"":5829.060000003665},{""page_index"":1,""viewing_time"":2698.9699999976438},{""page_index"":2,""viewing_time"":992.259999999078}]","16078.529999998864","instructions","13","322733","0.0-13.0","SS1603399414985","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","323679","0.0-14.0-0.0","SS1603399414985","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","700.154999998631","stimulus-presentation","15","324599","0.0-14.0-1.0","SS1603399414985","<img src='images/complex/11.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/12.png","images/complex/11.png","images/simple/18.png,images/simple/16.png,images/simple/15.png,images/simple/17.png,images/simple/3.png,images/simple/10.png,images/simple/9.png","0","null","","200","900.154999998631","","","","background","",""
"","null","html-keyboard-response","16","325602","0.0-14.0-0.1","SS1603399414985","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
