"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","key_press","trial_stimulus","trial_stimulus_type","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","blcok_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","responses","question_order"
"","960.8799999984913","stimulus-presentation","1606","2772394","0.0-34.0-1.43","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","1560.8799999984913","","",""
"","null","html-keyboard-response","1607","2774153","0.0-34.0-0.44","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","1889.3450000034645","stimulus-presentation","1608","2777348","0.0-34.0-1.44","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","2489.3450000034645","","",""
"","null","html-keyboard-response","1609","2779252","0.0-34.0-0.45","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","409.50500000361353","stimulus-presentation","1610","2780974","0.0-34.0-1.45","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","1009.5050000036135","","",""
"","null","html-keyboard-response","1611","2782769","0.0-34.0-0.46","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","694.7149999905378","stimulus-presentation","1612","2784774","0.0-34.0-1.46","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","1294.7149999905378","","",""
"","null","html-keyboard-response","1613","2786735","0.0-34.0-0.47","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
"","200.32000000355765","stimulus-presentation","1614","2788231","0.0-34.0-1.47","SS1602373926146","","40","<img src='images/simple/12.png' width ='500' height = '600' style='border:5px solid black'>","background","all_simple","images/simple/110.png","images/simple/12.png","images/simple/62.png,images/simple/5.png,images/simple/89.png,images/simple/92.png,images/simple/41.png,images/simple/79.png,images/simple/112.png,images/simple/85.png,images/simple/55.png,images/simple/2.png,images/simple/83.png,images/simple/118.png,images/simple/18.png,images/simple/59.png,images/simple/53.png,images/simple/76.png,images/simple/95.png,images/simple/104.png,images/simple/63.png,images/simple/34.png,images/simple/90.png,images/simple/86.png,images/simple/73.png,images/simple/64.png,images/simple/93.png,images/simple/81.png,images/simple/56.png,images/simple/39.png,images/simple/70.png,images/simple/48.png,images/simple/1.png,images/simple/117.png,images/simple/19.png,images/simple/97.png,images/simple/16.png,images/simple/3.png,images/simple/115.png,images/simple/23.png","3","0","","600","800.3200000035577","","",""
"","null","html-keyboard-response","1615","2789748","0.0-34.0-0.48","SS1602373926146","<img src=images/blank.png width =""500"" height = ""600"" style=""border:5px solid black"">","null","","","","","","","","","","","","","",""
