"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject"
"[{""page_index"":0,""viewing_time"":4379.259999986971}]","4379.999999975553","instructions","0","4402","0.0-0.0","SS1604513990570"
"[{""page_index"":0,""viewing_time"":3069.2699999781325},{""page_index"":1,""viewing_time"":4392.34000002034},{""page_index"":2,""viewing_time"":7661.93000000203},{""page_index"":3,""viewing_time"":4141.864999983227},{""page_index"":4,""viewing_time"":4162.385000003269},{""page_index"":5,""viewing_time"":4111.854999995558},{""page_index"":6,""viewing_time"":12971.810000017285},{""page_index"":7,""viewing_time"":13681.489999988116},{""page_index"":8,""viewing_time"":1642.8350000060163}]","55836.16499998607","instructions","1","60238","0.0-1.0","SS1604513990570"
