"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":3938.8849999995728}]","3939.2100000004575","instructions","0","3956","0.0-0.0","SS1604513235675","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6926.859999999579},{""page_index"":1,""viewing_time"":4168.935000001511},{""page_index"":2,""viewing_time"":1818.2850000011967},{""page_index"":3,""viewing_time"":8091.764999997395},{""page_index"":4,""viewing_time"":187173.09999999998},{""page_index"":5,""viewing_time"":1086.910000001808},{""page_index"":6,""viewing_time"":892.0250000010128},{""page_index"":7,""viewing_time"":487.1999999995751},{""page_index"":8,""viewing_time"":502.88000000000466}]","211148.20500000133","instructions","1","215105","0.0-1.0","SS1604513235675","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5197.8500000004715},{""page_index"":1,""viewing_time"":9624.925000000076},{""page_index"":2,""viewing_time"":1234.08500000005}]","16057.079999998678","instructions","2","231163","0.0-2.0","SS1604513235675","","","","","","","","","","","","","","","","",""
"","1133.9100000004692","practice-block","3","232500","0.0-3.0","SS1604513235675","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1333.9100000004692","","","","","",""
"","null","html-keyboard-response","4","233718","0.0-4.0","SS1604513235675","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","5953.935000001366","practice-block","5","239875","0.0-5.0","SS1604513235675","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","6153.935000001366","yes","1136.96500000151","","","",""
"","null","html-keyboard-response","6","240750","0.0-6.0","SS1604513235675","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","4596.835000000283","practice-block","7","245549","0.0-7.0","SS1604513235675","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4796.835000000283","yes","3214.830000000802","","","",""
"","null","html-keyboard-response","8","246531","0.0-8.0","SS1604513235675","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2905.9650000017427","practice-block","9","249639","0.0-9.0-0.0","SS1604513235675","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","3105.9650000017427","yes","1616.2550000008196","","","",""
"","null","html-keyboard-response","10","250582","0.0-10.0","SS1604513235675","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","121.68500000188942","practice-block","11","250905","0.0-11.0","SS1604513235675","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","321.6850000018894","","","","","",""
"[{""page_index"":0,""viewing_time"":2255}]","2255","task-instructions","12","253161","0.0-12.0","SS1604513235675","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1822.8799999997136},{""page_index"":1,""viewing_time"":2166.8849999987287},{""page_index"":2,""viewing_time"":952.8649999992922}]","4942.879999998695","instructions","13","258105","0.0-13.0","SS1604513235675","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","259243","0.0-14.0-0.0","SS1604513235675","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","176.98500000187778","stimulus-presentation","15","259622","0.0-14.0-1.0","SS1604513235675","<img src='images/complex/1.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_complex_deviant","images/simple/11.png","images/simple/4.png","images/complex/1.png,images/complex/8.png,images/complex/14.png,images/complex/15.png,images/complex/13.png,images/complex/12.png,images/complex/4.png","0","null","","200","376.9850000018778","","","","deviant","",""
"","null","html-keyboard-response","16","260762","0.0-14.0-0.1","SS1604513235675","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
