"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":1327.0149999880232},{""page_index"":1,""viewing_time"":376.34000001708046},{""page_index"":2,""viewing_time"":214.4799999659881},{""page_index"":3,""viewing_time"":182.54500004695728},{""page_index"":4,""viewing_time"":224.13499996764585},{""page_index"":5,""viewing_time"":394.849999982398},{""page_index"":6,""viewing_time"":295.9800000535324},{""page_index"":7,""viewing_time"":230.3049999754876}]","3246.1699999985285","instructions","0","3249","0.0-0.0","SS1602802640714","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":901.9100000150502},{""page_index"":1,""viewing_time"":927.4500000174157},{""page_index"":2,""viewing_time"":769.1849999828264}]","2599.099999992177","instructions","1","5851","0.0-1.0","SS1602802640714","","","","","","","","","","","","","","","","",""
"","1998.4149999800138","practice-block","2","8056","0.0-2.0","SS1602802640714","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2198.414999980014","","","","","",""
"","null","html-keyboard-response","3","9058","0.0-3.0","SS1602802640714","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","316.67999998899177","practice-block","4","9582","0.0-4.0","SS1602802640714","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","516.6799999889918","","","","","",""
"","null","html-keyboard-response","5","10567","0.0-5.0","SS1602802640714","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","296.99499998241663","practice-block","6","11073","0.0-6.0","SS1602802640714","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","496.99499998241663","","","","","",""
"","null","html-keyboard-response","7","12105","0.0-7.0","SS1602802640714","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2349.244999990333","practice-block","8","14662","0.0-8.0-0.0","SS1602802640714","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2549.244999990333","yes","306.71000003349036","","","",""
"","null","html-keyboard-response","9","15516","0.0-9.0","SS1602802640714","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","359.32500002672896","practice-block","10","16078","0.0-10.0","SS1602802640714","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","559.325000026729","","","","","",""
"[{""page_index"":0,""viewing_time"":1850}]","1851","task-instructions","11","17931","0.0-11.0","SS1602802640714","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":819.4900000235066},{""page_index"":1,""viewing_time"":1960.2999999769963},{""page_index"":2,""viewing_time"":1031.8400000105612}]","3812.22500000149","instructions","12","21746","0.0-12.0","SS1602802640714","","","","","","","","","","","","","","","","",""
