"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":2183.125000039581}]","2184.5850000390783","instructions","0","2246","0.0-0.0","SS1604609592919","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5597.0950000337325},{""page_index"":1,""viewing_time"":4436.999999976251},{""page_index"":2,""viewing_time"":4527.679999999236},{""page_index"":3,""viewing_time"":6256.915000034496},{""page_index"":4,""viewing_time"":3881.7749999579974},{""page_index"":5,""viewing_time"":5880.650000006426},{""page_index"":6,""viewing_time"":2550.8350000018254},{""page_index"":7,""viewing_time"":5882.5700000161305},{""page_index"":8,""viewing_time"":3150.904999987688}]","42166.064999997616","instructions","1","44417","0.0-1.0","SS1604609592919","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1642.2250000177883},{""page_index"":1,""viewing_time"":6749.869999999646},{""page_index"":2,""viewing_time"":1730.5000000051223}]","10123.614999989513","instructions","2","54544","0.0-2.0","SS1604609592919","","","","","","","","","","","","","","","","",""
"","1161.034999997355","practice-block","3","55915","0.0-3.0","SS1604609592919","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1361.034999997355","","","","","",""
"","null","html-keyboard-response","4","56772","0.0-4.0","SS1604609592919","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","363.16000000806525","practice-block","5","57340","0.0-5.0","SS1604609592919","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","563.1600000080653","","","","","",""
"","null","html-keyboard-response","6","58476","0.0-6.0","SS1604609592919","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","502.20500002615154","practice-block","7","59185","0.0-7.0","SS1604609592919","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","702.2050000261515","","","","","",""
"","null","html-keyboard-response","8","60238","0.0-8.0","SS1604609592919","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","5220.135000010487","practice-block","9","65669","0.0-9.0-0.0","SS1604609592919","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","5420.135000010487","yes","592.20999997342","","","",""
"","null","html-keyboard-response","10","66627","0.0-10.0","SS1604609592919","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1145.9650000324473","practice-block","11","67979","0.0-11.0","SS1604609592919","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1345.9650000324473","","","","","",""
"[{""page_index"":0,""viewing_time"":2060}]","2061","task-instructions","12","70045","0.0-12.0","SS1604609592919","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2280.864999978803},{""page_index"":1,""viewing_time"":3512.5649999827147},{""page_index"":2,""viewing_time"":1390.6650000135414}]","7184.689999965485","instructions","13","77233","0.0-13.0","SS1604609592919","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","78084","0.0-14.0-0.0","SS1604609592919","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","546.4300000458024","stimulus-presentation","15","78851","0.0-14.0-1.0","SS1604609592919","<img src='images/complex/18.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/14.png","images/complex/18.png","images/simple/13.png,images/simple/16.png,images/simple/15.png,images/simple/4.png,images/simple/9.png,images/simple/1.png,images/simple/7.png","0","null","","200","746.4300000458024","","","","background","",""
"","null","html-keyboard-response","16","79762","0.0-14.0-0.1","SS1604609592919","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
