"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":32275.734999915585}]","32276.439999928698","instructions","0","32297","0.0-0.0","SS1604588489700","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6955.435000010766},{""page_index"":1,""viewing_time"":5949.815000058152},{""page_index"":2,""viewing_time"":13124.749999959022},{""page_index"":3,""viewing_time"":8783.04000000935},{""page_index"":4,""viewing_time"":8961.000000010245},{""page_index"":5,""viewing_time"":11070.825000060722},{""page_index"":6,""viewing_time"":4383.909999975003},{""page_index"":7,""viewing_time"":8696.839999989606},{""page_index"":8,""viewing_time"":2623.9650000352412}]","70549.81500003487","instructions","1","102848","0.0-1.0","SS1604588489700","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9097.425000043586},{""page_index"":1,""viewing_time"":11360.929999966174},{""page_index"":2,""viewing_time"":2320.0749999377877}]","22778.679999988526","instructions","2","125628","0.0-2.0","SS1604588489700","","","","","","","","","","","","","","","","",""
"","1701.7899999627843","practice-block","3","127533","0.0-3.0","SS1604588489700","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1901.7899999627843","","","","","",""
"","null","html-keyboard-response","4","128606","0.0-4.0","SS1604588489700","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1120.4049999359995","practice-block","5","129929","0.0-5.0","SS1604588489700","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1320.4049999359995","","","","","",""
"","null","html-keyboard-response","6","130999","0.0-6.0","SS1604588489700","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","814.9799999082461","practice-block","7","132016","0.0-7.0","SS1604588489700","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1014.9799999082461","","","","","",""
"","null","html-keyboard-response","8","132909","0.0-8.0","SS1604588489700","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","10572.649999987334","practice-block","9","143684","0.0-9.0-0.0","SS1604588489700","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","10772.649999987334","yes","825.2949999878183","","","",""
"","null","html-keyboard-response","10","144897","0.0-10.0","SS1604588489700","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","595.670000067912","practice-block","11","145695","0.0-11.0","SS1604588489700","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","795.670000067912","","","","","",""
"[{""page_index"":0,""viewing_time"":3538}]","3538","task-instructions","12","149235","0.0-12.0","SS1604588489700","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10635.145000065677},{""page_index"":1,""viewing_time"":9735.794999985956},{""page_index"":2,""viewing_time"":2999.0250000264496}]","23370.220000040717","instructions","13","172607","0.0-13.0","SS1604588489700","","","","","","","","","","","","","","","","",""
