"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":3188.6149999918416}]","3189.8499999952037","instructions","0","3225","0.0-0.0","SS1604513289695","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11451.09999999113},{""page_index"":1,""viewing_time"":21359.800000005635},{""page_index"":2,""viewing_time"":7927.924999996321},{""page_index"":3,""viewing_time"":10649.780000007013},{""page_index"":4,""viewing_time"":1741.9849999860162},{""page_index"":5,""viewing_time"":1263.8500000030035},{""page_index"":6,""viewing_time"":1472.3450000019511},{""page_index"":7,""viewing_time"":2311.8800000083866},{""page_index"":6,""viewing_time"":688.1099999882281},{""page_index"":5,""viewing_time"":8432.140000004438},{""page_index"":4,""viewing_time"":1207.764999999199},{""page_index"":5,""viewing_time"":1079.8400000057882},{""page_index"":6,""viewing_time"":3941.1249999975553},{""page_index"":7,""viewing_time"":4674.899999998161},{""page_index"":8,""viewing_time"":1120.1200000068638}]","79323.16999998875","instructions","1","82551","0.0-1.0","SS1604513289695","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2291.8050000007497},{""page_index"":1,""viewing_time"":15367.865000007441},{""page_index"":2,""viewing_time"":5607.990000004065}]","23268.12500000233","instructions","2","105823","0.0-2.0","SS1604513289695","","","","","","","","","","","","","","","","",""
"","1730.135000005248","practice-block","3","107774","0.0-3.0","SS1604513289695","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1930.135000005248","","","","","",""
"","null","html-keyboard-response","4","109074","0.0-4.0","SS1604513289695","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2477.6549999951385","practice-block","5","111757","0.0-5.0","SS1604513289695","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2677.6549999951385","","","","","",""
"","null","html-keyboard-response","6","112566","0.0-6.0","SS1604513289695","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","4811.730000001262","practice-block","7","117582","0.0-7.0","SS1604513289695","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","5011.730000001262","yes","531.0750000062399","","","",""
"","null","html-keyboard-response","8","118541","0.0-8.0","SS1604513289695","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2172.2849999932805","practice-block","9","124087","0.0-9.0-0.0","SS1604513289695","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2372.2849999932805","","","","","",""
