"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":8807.980000041425}]","8808.735000086017","instructions","0","8851","0.0-0.0","SS1604610949174","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4272.869999986142},{""page_index"":1,""viewing_time"":2311.5100000286475},{""page_index"":2,""viewing_time"":1984.0649999678135},{""page_index"":3,""viewing_time"":3503.759999992326},{""page_index"":4,""viewing_time"":1503.8149999454618},{""page_index"":5,""viewing_time"":1543.500000028871},{""page_index"":6,""viewing_time"":1456.0950000304729},{""page_index"":7,""viewing_time"":1647.6849999744445},{""page_index"":8,""viewing_time"":1439.4249999895692}]","19663.14999992028","instructions","1","28519","0.0-1.0","SS1604610949174","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1748.3500000089407},{""page_index"":1,""viewing_time"":3440.0100000202656},{""page_index"":2,""viewing_time"":1327.5249999715015}]","6516.219999990426","instructions","2","35038","0.0-2.0","SS1604610949174","","","","","","","","","","","","","","","","",""
"","23685.219999984838","practice-block","3","58928","0.0-3.0","SS1604610949174","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","23885.219999984838","yes","1285.619999980554","","","",""
"","null","html-keyboard-response","4","59812","0.0-4.0","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","621.1899999761954","practice-block","5","60640","0.0-5.0","SS1604610949174","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","821.1899999761954","","","","","",""
"","null","html-keyboard-response","6","61500","0.0-6.0","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","509.4950000056997","practice-block","7","62224","0.0-7.0","SS1604610949174","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","709.4950000056997","","","","","",""
"","null","html-keyboard-response","8","63424","0.0-8.0","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","288.12000004108995","practice-block","9","65176","0.0-9.0-0.0","SS1604610949174","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","488.12000004108995","","","","","",""
"","17193.334999959916","practice-block","10","82576","0.0-9.1-0.1","SS1604610949174","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","17393.334999959916","yes","2744.6449999697506","","","",""
"","null","html-keyboard-response","11","83873","0.0-10.0","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","633.5299999918789","practice-block","12","84721","0.0-11.0","SS1604610949174","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","833.5299999918789","","","","","",""
"[{""page_index"":0,""viewing_time"":1969}]","1970","task-instructions","13","86695","0.0-12.0","SS1604610949174","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3227.100000018254},{""page_index"":1,""viewing_time"":6638.875000062399},{""page_index"":2,""viewing_time"":5375.104999984615}]","15241.475000046194","instructions","14","101940","0.0-13.0","SS1604610949174","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","102867","0.0-14.0-0.0","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","6322.61999999173","stimulus-presentation","16","109402","0.0-14.0-1.0","SS1604610949174","<img src='images/complex/18.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","6522.61999999173","","","","deviant","",""
"","null","html-keyboard-response","17","110230","0.0-14.0-0.1","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","543.500000028871","stimulus-presentation","18","110984","0.0-14.0-1.1","SS1604610949174","<img src='images/complex/8.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","743.500000028871","","","","background","",""
"","null","html-keyboard-response","19","112129","0.0-14.0-0.2","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","502.7899999404326","stimulus-presentation","20","112848","0.0-14.0-1.2","SS1604610949174","<img src='images/complex/2.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","702.7899999404326","","","","target","",""
"","null","html-keyboard-response","21","113979","0.0-14.0-0.3","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","390.1799999875948","stimulus-presentation","22","114575","0.0-14.0-1.3","SS1604610949174","<img src='images/complex/8.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","590.1799999875948","","","","background","",""
"","null","html-keyboard-response","23","115432","0.0-14.0-0.4","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","425.8350000018254","stimulus-presentation","24","116065","0.0-14.0-1.4","SS1604610949174","<img src='images/complex/8.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","625.8350000018254","","","","background","",""
"","null","html-keyboard-response","25","116877","0.0-14.0-0.5","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","499.39999997150153","stimulus-presentation","26","117584","0.0-14.0-1.5","SS1604610949174","<img src='images/complex/4.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","699.3999999715015","","","","deviant","",""
"","null","html-keyboard-response","27","118420","0.0-14.0-0.6","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","902.669999981299","stimulus-presentation","28","119537","0.0-14.0-1.6","SS1604610949174","<img src='images/complex/8.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","1102.669999981299","","","","background","",""
"","null","html-keyboard-response","29","120815","0.0-14.0-0.7","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","84933.10000002384","stimulus-presentation","30","205955","0.0-14.0-1.7","SS1604610949174","<img src='images/complex/8.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","85133.10000002384","","","","background","",""
"","null","html-keyboard-response","31","206993","0.0-14.0-0.8","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","280.94500000588596","stimulus-presentation","32","207480","0.0-14.0-1.8","SS1604610949174","<img src='images/complex/8.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","480.94500000588596","","","","background","",""
"","null","html-keyboard-response","33","208530","0.0-14.0-0.9","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","206.56500000040978","stimulus-presentation","34","208944","0.0-14.0-1.9","SS1604610949174","<img src='images/complex/2.png' width ='500' height = '500' style='border:5px solid black'>","40","all_complex","images/complex/2.png","images/complex/8.png","images/complex/14.png,images/complex/3.png,images/complex/16.png,images/complex/4.png,images/complex/12.png,images/complex/5.png,images/complex/18.png","0","null","","200","406.5650000004098","","","","target","",""
"","null","html-keyboard-response","35","210092","0.0-14.0-0.10","SS1604610949174","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
