"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":3232.354999985546}]","3234.070000005886","instructions","0","3294","0.0-0.0","SS1604513418227","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15008.314999984577},{""page_index"":1,""viewing_time"":5543.774999998277},{""page_index"":2,""viewing_time"":2888.005000015255},{""page_index"":3,""viewing_time"":4859.484999993583},{""page_index"":4,""viewing_time"":2523.8200000021607},{""page_index"":5,""viewing_time"":1601.3099999981932},{""page_index"":4,""viewing_time"":4491.940000007162},{""page_index"":5,""viewing_time"":3468.170000007376},{""page_index"":6,""viewing_time"":1771.294999984093},{""page_index"":7,""viewing_time"":3384.470000019064},{""page_index"":8,""viewing_time"":1351.7449999926612}]","46894.82499999576","instructions","1","50196","0.0-1.0","SS1604513418227","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1528.5349999903701},{""page_index"":1,""viewing_time"":10807.109999994282},{""page_index"":2,""viewing_time"":1296.6450000240002}]","13633.444999984931","instructions","2","63839","0.0-2.0","SS1604513418227","","","","","","","","","","","","","","","","",""
"","701.9199999922421","practice-block","3","64756","0.0-3.0","SS1604513418227","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","901.9199999922421","","","","","",""
"","null","html-keyboard-response","4","65737","0.0-4.0","SS1604513418227","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","1062.7950000052806","practice-block","5","67006","0.0-5.0","SS1604513418227","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1262.7950000052806","","","","","",""
"","null","html-keyboard-response","6","68259","0.0-6.0","SS1604513418227","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","194.22500001383014","practice-block","7","68669","0.0-7.0","SS1604513418227","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","394.22500001383014","","","","","",""
"","null","html-keyboard-response","8","69711","0.0-8.0","SS1604513418227","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","3853.7950000027195","practice-block","9","73774","0.0-9.0-0.0","SS1604513418227","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","4053.7950000027195","yes","206.36999999987893","","","",""
