"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject"
"[{""page_index"":0,""viewing_time"":1783.900000002177}]","1788.5999999998603","instructions","0","1820","0.0-0.0","SS1604610803451"
"[{""page_index"":0,""viewing_time"":865.4000000024098},{""page_index"":1,""viewing_time"":634.5000000001164},{""page_index"":2,""viewing_time"":496.7000000033295},{""page_index"":3,""viewing_time"":400.60000000084983},{""page_index"":4,""viewing_time"":444.2999999955646},{""page_index"":5,""viewing_time"":328.6999999982072},{""page_index"":6,""viewing_time"":371.2000000014086},{""page_index"":7,""viewing_time"":591.7000000044936},{""page_index"":8,""viewing_time"":1477.6999999958207}]","5613.800000006449","instructions","1","7457","0.0-1.0","SS1604610803451"
"[{""page_index"":0,""viewing_time"":1387.1999999973923},{""page_index"":1,""viewing_time"":1267.0999999972992},{""page_index"":2,""viewing_time"":1226.0999999998603}]","3883.6000000010245","instructions","2","11351","0.0-2.0","SS1604610803451"
