"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject"
"[{""page_index"":0,""viewing_time"":1811.9000000006054}]","1813.0000000019209","instructions","0","1818","0.0-0.0","SS1604610777230"
"[{""page_index"":0,""viewing_time"":962.0999999970081},{""page_index"":1,""viewing_time"":704.6000000045751},{""page_index"":2,""viewing_time"":507.29999999748543},{""page_index"":3,""viewing_time"":667.699999998149},{""page_index"":4,""viewing_time"":632.4000000022352},{""page_index"":5,""viewing_time"":606.9999999963329},{""page_index"":6,""viewing_time"":610.0000000005821},{""page_index"":7,""viewing_time"":715.5000000057044},{""page_index"":8,""viewing_time"":639.7999999971944}]","6049.5000000009895","instructions","1","7873","0.0-1.0","SS1604610777230"
"[{""page_index"":0,""viewing_time"":1122.9000000021188},{""page_index"":1,""viewing_time"":5408.799999997427},{""page_index"":2,""viewing_time"":1626.300000003539}]","8161.000000000058","instructions","2","16044","0.0-2.0","SS1604610777230"
