"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":1520.009999978356},{""page_index"":1,""viewing_time"":610.1200000266545},{""page_index"":2,""viewing_time"":480.379999964498},{""page_index"":3,""viewing_time"":1392.1050000353716},{""page_index"":4,""viewing_time"":490.8599999616854},{""page_index"":5,""viewing_time"":461.4249999867752},{""page_index"":6,""viewing_time"":432.95000004582107},{""page_index"":7,""viewing_time"":433.45999997109175}]","5822.1949999569915","instructions","0","5831","0.0-0.0","SS1602823796763","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":973.6900000134483},{""page_index"":1,""viewing_time"":1065.6050000106916},{""page_index"":2,""viewing_time"":1482.4099999968894}]","3521.8999999924563","instructions","1","9354","0.0-1.0","SS1602823796763","","","","","","","","","","","","","","","","",""
"","1079.0949999936856","practice-block","2","10639","0.0-2.0","SS1602823796763","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1279.0949999936856","","","","","",""
"","null","html-keyboard-response","3","11938","0.0-3.0","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","121.54500000178814","practice-block","4","12264","0.0-4.0","SS1602823796763","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","321.54500000178814","","","","","",""
"","null","html-keyboard-response","5","13247","0.0-5.0","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","505.6749999639578","practice-block","6","13956","0.0-6.0","SS1602823796763","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","705.6749999639578","","","","","",""
"","null","html-keyboard-response","7","15034","0.0-7.0","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","208.17499997792765","practice-block","8","17223","0.0-8.0-0.0","SS1602823796763","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","408.17499997792765","","","","","",""
"","2588.8450000202283","practice-block","9","20018","0.0-8.1-0.1","SS1602823796763","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2788.8450000202283","yes","335.32500005094334","","","",""
"","null","html-keyboard-response","10","20906","0.0-9.0","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","192.74500000756234","practice-block","11","21304","0.0-10.0","SS1602823796763","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","392.74500000756234","","","","","",""
"[{""page_index"":0,""viewing_time"":1533}]","1533","task-instructions","12","22838","0.0-11.0","SS1602823796763","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":687.0199999539182},{""page_index"":1,""viewing_time"":1184.1500000446104},{""page_index"":2,""viewing_time"":815.8849999890663}]","2687.2049999656156","instructions","13","25527","0.0-12.0","SS1602823796763","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","14","26539","0.0-13.0-0.0","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","301.1899999692105","stimulus-presentation","15","27044","0.0-13.0-1.0","SS1602823796763","<img src='images/complex/2.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/16.png","images/complex/2.png","images/simple/7.png,images/simple/8.png,images/simple/3.png,images/simple/6.png,images/simple/18.png,images/simple/12.png,images/simple/1.png","0","null","","200","501.1899999692105","","","","background","",""
"","null","html-keyboard-response","16","27984","0.0-13.0-0.1","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","74.78500000433996","stimulus-presentation","17","28264","0.0-13.0-1.1","SS1602823796763","<img src='images/complex/16.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/16.png","images/complex/2.png","images/simple/7.png,images/simple/8.png,images/simple/3.png,images/simple/6.png,images/simple/18.png,images/simple/12.png,images/simple/1.png","0","null","","200","274.78500000433996","","","","target","",""
"","null","html-keyboard-response","18","29493","0.0-13.0-0.2","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","183.5850000497885","stimulus-presentation","19","29883","0.0-13.0-1.2","SS1602823796763","<img src='images/complex/2.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/16.png","images/complex/2.png","images/simple/7.png,images/simple/8.png,images/simple/3.png,images/simple/6.png,images/simple/18.png,images/simple/12.png,images/simple/1.png","0","null","","200","383.5850000497885","","","","background","",""
"","null","html-keyboard-response","20","30700","0.0-13.0-0.3","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","160.23500001756474","stimulus-presentation","21","31069","0.0-13.0-1.3","SS1602823796763","<img src='images/complex/2.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/16.png","images/complex/2.png","images/simple/7.png,images/simple/8.png,images/simple/3.png,images/simple/6.png,images/simple/18.png,images/simple/12.png,images/simple/1.png","0","null","","200","360.23500001756474","","","","background","",""
"","null","html-keyboard-response","22","31992","0.0-13.0-0.4","SS1602823796763","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
